500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
1000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
1250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
1500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
1750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
2000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
2250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
2500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
2750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
3000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
3250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
3500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
3750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
4000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
4250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
4500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
4750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
5000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
5250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
5500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
5750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
6000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
6250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
6500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
6750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
7000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
7250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
7500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
7750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
8000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
8250,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
8500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
8500,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
8750,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
9000,14.7,14,13.5,13.2,13,12.8,12.6,12.4,12,11.8,11.8
